,country_region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Avg. Denial of existence of humanitarian needs or entitlements to assistance,Average of Rule of Law,Average of Freedom in the World,Average of Corruption Perception,Average of Safety and security,Average of Social cohesion,Count of Inequality,Avg Income Gini coefficient,Avg. Empowerment,Avg. Trust in society,Avg. Ethnic Fractionalisation,Avg. Gender Inequality
27,niger,-4.365384615384615,-0.9568567026194144,-7.575042158516022,-13.85897435897436,-8.697147037307973,4.407725321888412,0.0,2.8,2.6,3.3,4.0,2.2833333330000003,4,1.1,2.1,2.0,3.1,4.6
28,nigeria,-20.499171570587897,-13.863074312037822,-20.64042690815007,-20.59919740531032,-13.992011841870198,12.301798458464171,0.8,3.0,2.5,3.6,5.0,2.5,5,2.2,3.9,3.1,4.1,0.0
29,pakistan,-24.568001863064737,-13.439494997617912,-6.4594423320659065,-23.34656453110492,-19.777731873579842,8.802800993901062,0.0,3.3,2.9,3.4,4.0,2.616666667,2,0.6,3.9,3.55,2.8,3.6
30,peru,-55.88319037407672,-40.73211169284468,-42.9145103744501,-58.79791744941227,-34.94743424069365,21.758576051779933,0.0,2.4,1.4,3.3,2.0,2.683333333,1,2.4,1.8,1.75,3.1,2.6
31,philippines,-48.979194407456724,-30.01766190075693,-32.386816128492555,-51.702263202011736,-35.44084600132188,20.755654614495626,0.0,2.6,1.9,3.3,3.5,1.9333333330000002,4,2.3,1.8,1.85,1.3,2.9
32,rwanda,-22.297679112008076,-24.791786055396372,-8.28125,-31.08343789209536,-24.271907216494853,17.21756487025948,0.0,2.9,3.9,2.3,2.5,3.1,1,3.3,3.2,3.15,1.4,2.6
33,senegal,-25.65333333333333,-13.52170283806344,-16.987854251012145,-36.61241379310345,-10.449047224523614,8.480981595092025,0.0,2.2,1.3,2.8,1.5,2.05,1,1.9,1.8,1.65,3.6,3.5
34,tanzania,-11.12121212121212,-1.926167209554832,-8.178749308245711,-7.472196416721964,-9.13331837055325,4.853236413984077,0.0,2.8,2.4,3.4,1.5,1.716666667,1,1.6,2.5,2.25,0.6,3.6
35,thailand,-18.218884120171676,-1.9742489270386263,-23.248927038626608,-32.94420600858369,-15.875536480686696,7.927038626609442,0.0,3.2,3.5,3.3,2.0,2.066666667,3,1.8,2.1,2.75,2.2,2.4
36,trinidad and tobago,-27.789699570815447,-5.8068669527897,-21.660944206008587,-44.785407725321896,-29.523605150214596,13.48068669527897,2.0,2.3,1.0,3.3,0.0,2.2,1,0.0,0.7,0.7,3.4,2.2
37,turkey,-25.46562828238156,-0.1106171927556687,9.16841519033069,-25.00084078451663,-19.271265560165972,5.896982586734016,2.0,3.0,3.4,3.0,3.5,2.45,4,1.9,2.5,2.35,2.5,2.2
38,uganda,-29.96399535423925,-24.787136294027565,-11.975377728035815,-35.820812182741115,-10.129810453762207,13.499271137026241,0.0,3.0,3.2,3.8,2.0,2.916666667,3,2.2,2.5,2.4,4.6,3.5
39,ukraine,-16.969957081545065,-1.871244635193133,30.242489270386265,-18.454935622317603,-24.09442060085837,3.4420600858369097,0.0,2.7,1.9,3.6,3.0,1.15,1,0.0,1.4,1.5,1.8,1.9
40,venezuela,-39.05579399141631,-21.669527896995707,-34.77682403433477,-41.94420600858369,-26.111587982832614,14.648068669527895,2.0,4.1,3.7,4.2,4.0,2.3,1,2.7,2.5,2.8,1.2,3.1
41,yemen,1.6724137931034482,9.184549356223176,-0.5625,-2.2596153846153846,-5.772532188841201,4.124463519313305,2.0,4.1,4.4,4.3,5.0,2.95,2,1.4,4.3,4.2,2.9,5.0
42,zambia,-4.257510729613734,1.1888412017167382,3.8557692307692313,-9.778969957081543,-6.663090128755366,9.98068669527897,0.0,2.7,2.3,3.1,0.5,2.516666667,1,3.8,2.1,2.05,3.7,3.5
43,zimbabwe,-25.475806451612907,-11.44175209692451,-23.791157102539984,-39.335664335664326,-15.860594795539033,19.97854954034729,0.0,3.7,3.5,3.9,3.0,2.9,1,0.0,5.0,4.05,1.8,3.6
