country_region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Hong Kong,-23.107296137339056,3.296137339055794,-20.721030042918454,-27.223175965665234,-16.69098712446352,12.695278969957082
Hungary,-2.4757454383622606,-0.8279523293607801,44.33545310015898,-9.486633340578136,-20.22372528616025,4.853838065194532
India,-45.26627845044917,-1.8411990964039318,-29.118891350696043,-33.12437118771846,-17.56888705006206,13.229523737034755
Indonesia,-20.0224552745219,-6.810327706057596,-16.665297996764963,-37.27275057677519,-17.43175965665236,9.748497854077254
Iraq,-26.326180257510728,-6.381974248927039,-17.55793991416309,-24.223175965665234,-22.042918454935624,11.124463519313304
Ireland,-34.75896881197043,-2.612064390589068,2.624256837098692,-25.50142517814727,-32.86939115929942,11.958664546899842
Israel,-30.141802388707926,-4.202780996523754,-0.7331843575418995,-22.625107851596205,-28.239612486544672,11.219597550306212
Italy,-27.37156056797337,-15.709899471800988,25.797880143768797,-30.057287278854254,-29.938731297813284,9.433619315677031
Jamaica,-29.939834024896264,-19.150226757369616,-30.440469536053662,-35.753998476770754,-26.62360801781737,13.136363636363637
Japan,-10.018866237482117,1.087714592274678,3.3310217290799815,-24.21550720744919,-12.54595851216023,6.396995708154506
Jordan,-22.169405815423513,-10.037340619307832,-18.76116303219107,-50.3419740777667,-23.1409662475182,8.008049535603716
Kazakhstan,-22.23175965665236,-8.798283261802576,5.626609442060086,-1.6952789699570816,-26.48497854077253,5.484978540772532
Kenya,-15.19226213975523,-12.145346171480972,-13.810012515644555,-17.656861018143385,-10.243023666548922,13.601863354037267
Kuwait,-44.200330214639514,-29.162588363240893,-41.06010303377218,-34.940298507462686,-36.378363832077504,19.077557755775576
Kyrgyzstan,-21.22635135135135,-17.40015128593041,-2.1626826029216466,-29.00244498777506,-21.381756756756758,2.5848563968668405
Laos,-16.253218884120173,-6.7296137339055795,-8.064377682403434,-27.802575107296136,-7.527896995708154,5.652360515021459
Latvia,-8.429851775249913,1.476038338658147,40.44779116465863,-18.91881342701015,-26.70804084237396,2.4292682926829268
Lebanon,-19.214408973252805,-0.11030706043418737,7.249941927990709,-49.8256157635468,-23.25312404754648,4.925143560295324
Libya,-11.925233644859814,1.5736925515055467,9.14102564102564,-38.72054794520548,-12.167641325536062,3.772093023255814
Liechtenstein,-28.321428571428573,-1.3061224489795917,,-20.792079207920793,-25.39041095890411,
Lithuania,-21.1418410041841,12.70269016697588,78.60878378378378,-11.434731246308328,-19.739391513210567,2.8715970961887476
Luxembourg,-33.27038626609442,-15.826839826839826,39.98557692307692,-29.48497854077253,-35.57826086956522,12.35064935064935
Malaysia,-33.35739979445015,-9.377509006690685,-21.09426123084913,-36.31181676210307,-23.93661257606491,13.165158955802532
Mali,-8.869565217391305,-9.611587982832617,-5.288461538461538,-29.91686460807601,-6.652360515021459,6.939914163090129
Malta,-23.4206008583691,-9.103004291845494,13.691244239631336,-21.686695278969957,-27.665236051502145,10.437768240343347
Mauritius,-30.687434554973823,-23.60332950631458,-45.456643356643355,-44.86329113924051,-25.58340611353712,7.765298218435322
Mexico,-36.90076732995188,-12.81909220965015,-33.441409806216676,-38.16576122962767,-25.541552867733124,12.634152685654831
Moldova,-19.57510729613734,-10.334763948497853,3.5021459227467813,-26.669527896995707,-24.103004291845494,4.884120171673819
Mongolia,4.469194312796208,28.189903846153847,31.631325301204818,12.38412017167382,-5.286902286902287,-1.8025751072961373
Morocco,-45.17489270386266,-26.94098712446352,-43.22854077253219,-44.227467811158796,-35.32832618025751,15.915236051502147
Mozambique,-13.108709472345836,-4.736138944555778,-19.088028169014084,-24.176729559748427,1.1993227990970654,6.249578414839798
Myanmar (Burma),-30.43919885550787,-16.632331902718168,-24.14688427299703,-29.9811320754717,-21.555078683834047,14.032904148783977
Namibia,-23.191265060240966,-9.365175332527206,-22.700162074554296,-47.08173076923077,-13.070217917675544,10.238260869565217
Nepal,-44.712446351931334,-31.412017167381975,-29.283261802575108,-40.36909871244635,-34.24463519313305,14.098712446351932
Netherlands,-10.295164305502377,-0.8671794768530637,45.107552870090636,-34.75981092921374,-28.338801473049884,7.808823900800566
New Zealand,-27.293108220315528,-13.824108953926398,-37.74693209708208,-36.15115789473684,-11.851652781510346,8.204212109815721
Nicaragua,-27.27442071785552,-12.963775023832222,-21.31510067114094,-27.089171974522294,-11.950433369447454,8.080824088748018
Niger,-4.365384615384615,-0.9568567026194145,-7.575042158516021,-13.85897435897436,-8.697147037307973,4.407725321888412
Nigeria,-20.4991715705879,-13.863074312037822,-20.640426908150065,-20.599197405310317,-13.992011841870198,12.301798458464173
North Macedonia,-24.69527896995708,-6.8111587982832615,23.368663594470046,-33.31330472103004,-25.901287553648068,6.562231759656652
Norway,-6.241017547117259,1.9988399071925753,62.56031128404669,-23.986150456405415,-31.097792647285033,5.363418803418804
Oman,-30.077958236658933,-22.670886075949365,-30.962585034013607,-43.30612244897959,-19.464965727341966,11.467808219178082
Pakistan,-24.56800186306474,-13.439494997617913,-6.4594423320659065,-23.34656453110492,-19.77773187357984,8.802800993901062
Panama,-60.587982832618025,-39.88412017167382,-57.17811158798283,-58.3755364806867,-50.87982832618026,28.090128755364805
Papua New Guinea,1.2788461538461537,16.16346153846154,-10.057692307692308,-16.53846153846154,12.30396475770925,3.7860696517412937
Paraguay,-32.404337084820206,-21.186800573888092,-39.52075957515288,-46.31185218566922,-11.833290455364034,13.776046304541406
Peru,-55.88319037407672,-40.732111692844676,-42.9145103744501,-58.79791744941227,-34.94743424069365,21.758576051779936
Philippines,-48.979194407456724,-30.017661900756938,-32.386816128492555,-51.702263202011736,-35.44084600132188,20.755654614495626
Poland,-7.912098514217552,-1.7227473792643762,29.856631719088035,-19.932564730130103,-16.777133647647457,4.689496165420833
Portugal,-28.63245301360985,-10.043299488126205,10.415253266101306,-35.031241491968416,-29.144417539611517,12.459182623018323
Puerto Rico,-32.41168304143528,-21.211079870873686,-40.03860232945092,-55.10316742081448,-29.359555588695848,13.598191863385233
Qatar,-26.856223175965667,-0.11587982832618025,-14.952789699570815,-33.39055793991416,-16.871244635193133,13.916309012875537
Romania,-22.116852534766963,-8.046252230814991,-0.8605636787454969,-22.518182852375716,-23.753277981942745,4.085050416483998
Russia,-16.75839434486241,-3.1067912143398133,23.97724367169522,-9.562989144155516,-25.387528401918708,2.500378692249432
Rwanda,-22.297679112008073,-24.791786055396372,-8.28125,-31.083437892095358,-24.271907216494846,17.21756487025948
Réunion,-46.96634615384615,-46.22702702702703,-49.858131487889274,-52.43939393939394,-31.07179487179487,
Saudi Arabia,-26.044075375279462,-10.299164524421593,-23.579042131796903,-47.7899867080195,-25.15509039010466,11.566677863621095
Senegal,-25.653333333333332,-13.521702838063439,-16.987854251012145,-36.61241379310345,-10.449047224523612,8.480981595092025
